Rank,Full Journal Title,Total Cites,,Journal Impact Factor,5-Year Impact Factor,Eigenfactor Score,Average Journal Impact Factor Percentile,,
1,CA-A CANCER JOURNAL FOR CLINICIANS,"24,539",,187.040,160.239,0.064520,99.770,,
2,NEW ENGLAND JOURNAL OF MEDICINE,"315,143",,72.406,64.201,0.699890,99.677,,
3,NATURE REVIEWS DRUG DISCOVERY,"28,750",,57.000,49.643,0.060770,99.746,,
4,CHEMICAL REVIEWS,"159,155",,47.928,50.950,0.246550,99.699,,
5,LANCET,"214,732",,47.831,48.082,0.404230,99.032,,
6,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"40,565",,46.602,43.310,0.095730,99.737,,
7,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"141,015",,44.405,38.209,0.280350,98.387,,
8,NATURE BIOTECHNOLOGY,"53,992",,41.667,46.223,0.169730,99.063,,
9,NATURE REVIEWS GENETICS,"32,654",,40.282,42.442,0.102400,99.701,,
10,NATURE,"671,254",,40.137,43.769,1.432570,99.219,,
11,NATURE REVIEWS IMMUNOLOGY,"34,948",,39.932,43.498,0.092920,99.669,,
12,NATURE MATERIALS,"81,831",,39.737,47.494,0.203970,99.598,,
13,Nature Nanotechnology,"48,814",,38.986,44.323,0.172410,99.440,,
14,CHEMICAL SOCIETY REVIEWS,"113,731",,38.618,39.278,0.284110,99.096,,
15,Nature Photonics,"35,595",,37.852,38.910,0.125980,99.222,,
16,SCIENCE,"606,635",,37.205,38.062,1.158230,97.656,,
17,NATURE REVIEWS CANCER,"46,017",,37.147,47.887,0.084880,99.309,,
18,REVIEWS OF MODERN PHYSICS,"45,510",,36.917,45.547,0.069640,99.367,,
19,LANCET ONCOLOGY,"38,110",,33.900,31.194,0.121840,98.848,,
20,PROGRESS IN MATERIALS SCIENCE,"10,521",,31.140,35.942,0.016710,99.091,,
21,Annual Review of Astronomy and Astrophysics,"9,417",,30.733,35.725,0.020660,99.206,,
22,CELL,"217,952",,30.410,34.103,0.593980,99.519,,
23,NATURE MEDICINE,"70,491",,29.886,32.261,0.178470,99.259,,
24,Energy & Environmental Science,"59,187",,29.518,24.781,0.186110,99.340,,
25,Living Reviews in Relativity,"2,186",,29.300,24.974,0.006820,98.276,,
26,MATERIALS SCIENCE & ENGINEERING R-REPORTS,"6,361",,29.280,24.745,0.005490,98.519,,
27,NATURE REVIEWS NEUROSCIENCE,"36,952",,28.880,37.257,0.071230,99.807,,
28,Annual Review of Immunology,"17,290",,28.396,39.683,0.036400,99.007,,
29,NATURE GENETICS,"88,954",,27.959,31.694,0.241290,99.102,,
30,CANCER CELL,"32,653",,27.407,27.660,0.102790,98.272,,
