"journal_name","issn","e_issn","category","edition","total_citations","impact_factor_2023","jif_quartile","jci_2023","percent_oa_gold"
"CA-A CANCER JOURNAL FOR CLINICIANS","0007-9235","1542-4863","ONCOLOGY","('SCIE',)","65,911","503.1","Q1","88.75","92.68"
"NATURE REVIEWS DRUG DISCOVERY","1474-1776","1474-1784","('BIOTECHNOLOGY & APPLIED MICROBIOLOGY', 'PHARMACOLOGY & PHARMACY')","('SCIE', 'SCIE')","48,152","122.7","('Q1', 'Q1')","13.41","9.91"
"LANCET","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL","('SCIE',)","336,057","98.4","Q1","24.06","25.97"
"NEW ENGLAND JOURNAL OF MEDICINE","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL","('SCIE',)","404,835","96.2","Q1","25.23","3.80"
"BMJ-British Medical Journal","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL","('SCIE',)","163,066","93.6","Q1","10.42","81.80"
"NATURE REVIEWS MOLECULAR CELL BIOLOGY","1471-0072","1471-0080","CELL BIOLOGY","('SCIE',)","65,632","81.3","Q1","8.76","1.37"
"Nature Reviews Clinical Oncology","1759-4774","1759-4782","ONCOLOGY","('SCIE',)","27,709","81.1","Q1","10.56","1.47"
"Nature Reviews Materials","2058-8437","2058-8437","('MATERIALS SCIENCE, MULTIDISCIPLINARY', 'NANOSCIENCE & NANOTECHNOLOGY')","('SCIE', 'SCIE')","35,616","79.8","('Q1', 'Q1')","4.35","1.99"
"Nature Reviews Disease Primers","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL","('SCIE',)","31,331","76.9","Q1","18.46","3.42"
"NATURE REVIEWS CANCER","1474-175X","1474-1768","ONCOLOGY","('SCIE',)","59,496","72.5","Q1","9.96","0.76"
"NATURE REVIEWS MICROBIOLOGY","1740-1526","1740-1534","MICROBIOLOGY","('SCIE',)","53,193","69.2","Q1","7.64","5.84"
"NATURE REVIEWS IMMUNOLOGY","1474-1733","1474-1741","IMMUNOLOGY","('SCIE',)","61,956","67.7","Q1","8.76","6.71"
"Foundations and Trends in Machine Learning","1935-8237","1935-8245","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","('ESCI',)","3,740","65.3","Q1","6.30","0.00"
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL","('SCIE',)","189,853","63.1","Q1","11.75","1.23"
"World Psychiatry","1723-8617","2051-5545","PSYCHIATRY","('SCIE', 'SSCI')","12,036","60.5","Q1","10.18","1.61"
"NATURE MEDICINE","1078-8956","1546-170X","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY', 'MEDICINE, RESEARCH & EXPERIMENTAL')","('SCIE', 'SCIE', 'SCIE')","129,261","58.7","('Q1', 'Q1', 'Q1')","13.63","47.38"
"ANNALS OF ONCOLOGY","0923-7534","1569-8041","ONCOLOGY","('SCIE',)","64,002","56.7","Q1","7.49","88.05"
"CHEMICAL REVIEWS","0009-2665","1520-6890","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","230,794","51.4","Q1","4.32","18.73"
"NATURE","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES","('SCIE',)","912,552","50.5","Q1","11.28","34.42"
"Nature Reviews Methods Primers","","2662-8449","MULTIDISCIPLINARY SCIENCES","('ESCI',)","4,515","50.1","Q1","8.14","5.97"
"Nature Energy","2058-7546","2058-7546","('ENERGY & FUELS', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","46,820","49.7","('Q1', 'Q1')","7.92","14.62"
"Nature Reviews Earth & Environment","","2662-138X","('ENVIRONMENTAL SCIENCES', 'GEOSCIENCES, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","8,321","49.7","('Q1', 'Q1')","5.01","0.64"
"CANCER CELL","1535-6108","1878-3686","('CELL BIOLOGY', 'ONCOLOGY')","('SCIE', 'SCIE')","52,068","48.8","('Q1', 'Q1')","7.56","78.65"
"LANCET NEUROLOGY","1474-4422","1474-4465","CLINICAL NEUROLOGY","('SCIE',)","47,501","46.5","Q1","10.99","19.23"
"Nature Reviews Gastroenterology & Hepatology","1759-5045","1759-5053","GASTROENTEROLOGY & HEPATOLOGY","('SCIE',)","26,749","45.9","Q1","8.14","4.32"
"REVIEWS OF MODERN PHYSICS","0034-6861","1539-0756","PHYSICS, MULTIDISCIPLINARY","('SCIE',)","57,818","45.9","Q1","4.04","10.89"
"CELL","0092-8674","1097-4172","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","305,198","45.5","('Q1', 'Q1')","10.01","83.50"
"Nature Reviews Physics","","2522-5820","('PHYSICS, APPLIED', 'PHYSICS, MULTIDISCIPLINARY')","('SCIE', 'SCIE')","8,134","44.8","('Q1', 'Q1')","2.75","3.52"
"SCIENCE","0036-8075","1095-9203","MULTIDISCIPLINARY SCIENCES","('SCIE',)","763,009","44.7","Q1","9.91","4.53"
"Lancet Diabetes & Endocrinology","2213-8587","2213-8595","ENDOCRINOLOGY & METABOLISM","('SCIE',)","19,590","44.0","Q1","8.57","17.82"
"eScience","","2667-1417","('ELECTROCHEMISTRY', 'MATERIALS SCIENCE, MULTIDISCIPLINARY')","('ESCI', 'ESCI')","3,827","42.9","('Q1', 'Q1')","6.67","97.08"
"Nature Catalysis","2520-1158","2520-1158","CHEMISTRY, PHYSICAL","('SCIE',)","25,392","42.8","Q1","5.29","10.13"
"JOURNAL OF CLINICAL ONCOLOGY","0732-183X","1527-7755","ONCOLOGY","('SCIE',)","169,257","42.1","Q1","6.46","29.96"
"Nature Reviews Cardiology","1759-5002","1759-5010","CARDIAC & CARDIOVASCULAR SYSTEMS","('SCIE',)","18,575","41.7","Q1","7.04","3.18"
"LANCET ONCOLOGY","1470-2045","1474-5488","ONCOLOGY","('SCIE',)","72,752","41.6","Q1","9.64","18.31"
"Signal Transduction and Targeted Therapy","2095-9907","2059-3635","('BIOCHEMISTRY & MOLECULAR BIOLOGY', 'CELL BIOLOGY')","('SCIE', 'SCIE')","29,874","40.8","('Q1', 'Q1')","4.42","99.57"
"CHEMICAL SOCIETY REVIEWS","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY","('SCIE',)","174,686","40.4","Q1","3.17","26.20"
"NATURE REVIEWS GENETICS","1471-0056","1471-0064","GENETICS & HEREDITY","('SCIE',)","40,757","39.1","Q1","5.75","6.34"
"Lancet Respiratory Medicine","2213-2600","","('CRITICAL CARE MEDICINE', 'RESPIRATORY SYSTEM')","('SCIE', 'SCIE')","24,191","38.7","('Q1', 'Q1')","11.49","32.20"
