"","Rank","Title","Type","SJR","SJR.Best.Quartile","H.index","Total.Docs...2016.","Total.Docs...3years.","Total.Refs.","Total.Cites..3years.","Citable.Docs...3years.","Cites...Doc...2years.","Ref....Doc.","Country","Categories","ISSN","ISSN.1","ISSN.2"
"1",2,"Nature Reviews Genetics","journal",33.238,"Q1",292,166,615,8029,7131,183,39.69,48.37,"United Kingdom","Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)","14710056; 14710064","14710056","14710064"
"2",3,"Nature Reviews Immunology","journal",29.692,"Q1",316,146,581,7719,8256,195,36.47,52.87,"United Kingdom","Immunology (Q1); Medicine (miscellaneous) (Q1)","14741733","14741733",""
"3",4,"Nature Reviews Molecular Cell Biology","journal",29.656,"Q1",352,152,535,9128,8150,214,45.11,60.05,"United Kingdom","Cell Biology (Q1); Molecular Biology (Q1)","14710072; 14710080","14710072","14710080"
"4",5,"Annual Review of Immunology","journal",27.631,"Q1",267,23,72,4155,2513,72,28.83,180.65,"United States","Immunology (Q1); Immunology and Allergy (Q1)","07320582; 15453278","07320582","15453278"
"5",6,"Cell","journal",26.947,"Q1",655,693,1885,29440,42666,1690,23.55,42.48,"United States","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)","00928674; 10974172","00928674","10974172"
"6",10,"Nature Reviews Cancer","journal",21.53,"Q1",355,115,513,9863,7806,207,32.32,85.77,"United Kingdom","Cancer Research (Q1); Oncology (Q1)","1474175X","1474175X",""
"7",13,"Nature Genetics","journal",20.899,"Q1",496,259,953,11024,19375,722,22.69,42.56,"United Kingdom","Genetics (Q1)","10614036","10614036",""
"8",14,"Nature Biotechnology","journal",20.253,"Q1",361,335,1160,6404,15185,559,23.88,19.12,"United Kingdom","Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)","10870156","10870156",""
"9",16,"Nature Methods","journal",19.544,"Q1",224,306,1222,5962,14017,615,19.77,19.48,"United Kingdom","Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)","15487105; 15487091","15487105","15487091"
"10",17,"Chemical Reviews","journal",19.282,"Q1",554,297,794,119554,33870,759,46.64,402.54,"United States","Chemistry (miscellaneous) (Q1)","00092665; 15206890","00092665","15206890"
"11",18,"Nature Reviews Neuroscience","journal",19.021,"Q1",337,172,634,9711,6333,211,25.46,56.46,"United Kingdom","Neuroscience (miscellaneous) (Q1)","14710048; 1471003X","14710048","1471003X"
"12",19,"Nature Nanotechnology","journal",18.746,"Q1",242,232,775,7534,16846,558,28.68,32.47,"United Kingdom","Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)","17483387","17483387",""
"13",20,"Nature","journal",18.134,"Q1",1011,2661,8198,43004,108589,4441,23.76,16.16,"United Kingdom","Multidisciplinary (Q1)","14764687; 00280836","14764687","00280836"
"14",22,"Physiological Reviews","journal",16.888,"Q1",293,31,114,13346,3339,108,25.6,430.52,"United States","Molecular Biology (Q1); Physiology (Q1); Physiology (medical) (Q1)","15221210; 00319333","15221210","00319333"
"15",23,"Immunity","journal",16.467,"Q1",329,284,740,12791,12626,709,16.03,45.04,"United States","Immunology (Q1); Immunology and Allergy (Q1); Infectious Diseases (Q1)","10974180; 10747613","10974180","10747613"
